Row_by_Pixel,Uncorroded_Depth_by_Pixel,Thickness_by_Pixel,Thickness_Left_Pixel,Thickness,Corrosion_Depth_Ratio
0,0,51,577,577,0.000
1,0,59,577,577,0.000
2,0,58,578,578,0.000
3,0,55,580,580,0.000
4,0,51,583,583,0.000
5,0,50,583,583,0.000
6,0,50,583,583,0.000
7,0,50,583,583,0.000
8,0,51,583,583,0.000
9,0,51,583,583,0.000
10,0,51,582,582,0.000
11,0,51,582,582,0.000
12,0,51,582,582,0.000
13,0,52,583,583,0.000
14,0,51,584,584,0.000
15,0,51,584,584,0.000
16,0,51,584,584,0.000
17,0,50,585,585,0.000
18,0,51,585,585,0.000
19,0,51,585,585,0.000
20,0,50,585,585,0.000
21,0,50,585,585,0.000
22,0,50,585,585,0.000
23,0,50,585,585,0.000
24,0,50,585,585,0.000
25,0,50,585,585,0.000
26,0,50,585,585,0.000
27,0,51,585,585,0.000
28,0,51,585,585,0.000
29,0,51,586,586,0.000
30,0,50,587,587,0.000
31,0,50,587,587,0.000
32,0,50,587,587,0.000
33,0,50,587,587,0.000
34,0,51,586,586,0.000
35,0,52,585,585,0.000
36,0,51,585,585,0.000
37,0,50,585,585,0.000
38,0,50,585,585,0.000
39,0,50,585,585,0.000
40,0,51,585,585,0.000
41,0,51,586,586,0.000
42,0,50,587,587,0.000
43,0,50,587,587,0.000
44,0,50,587,587,0.000
45,0,50,587,587,0.000
46,0,50,587,587,0.000
47,0,51,586,586,0.000
48,0,51,585,585,0.000
49,0,50,585,585,0.000
50,0,50,585,585,0.000
51,0,50,585,585,0.000
52,0,51,585,585,0.000
53,0,52,585,585,0.000
54,0,50,587,587,0.000
55,0,50,587,587,0.000
56,0,50,587,587,0.000
57,0,50,587,587,0.000
58,0,51,586,586,0.000
59,0,51,586,586,0.000
60,0,50,586,586,0.000
61,0,51,585,585,0.000
62,0,51,585,585,0.000
63,0,52,583,583,0.000
64,0,51,583,583,0.000
65,0,50,583,583,0.000
66,0,50,583,583,0.000
67,0,51,583,583,0.000
68,0,54,584,584,0.000
69,0,51,585,585,0.000
70,0,51,585,585,0.000
71,0,51,585,585,0.000
72,0,50,585,585,0.000
73,0,50,585,585,0.000
74,0,50,585,585,0.000
75,0,50,585,585,0.000
76,0,50,585,585,0.000
77,0,50,585,585,0.000
78,0,50,585,585,0.000
79,0,50,585,585,0.000
80,0,51,584,584,0.000
81,0,51,584,584,0.000
82,0,51,584,584,0.000
83,0,51,584,584,0.000
84,0,51,584,584,0.000
85,0,51,584,584,0.000
86,0,51,584,584,0.000
87,0,52,583,583,0.000
88,0,52,583,583,0.000
89,0,52,583,583,0.000
90,0,51,583,583,0.000
91,0,51,583,583,0.000
92,0,51,583,583,0.000
93,0,51,583,583,0.000
94,0,52,582,582,0.000
95,0,52,582,582,0.000
96,0,52,582,582,0.000
97,0,51,582,582,0.000
98,0,51,582,582,0.000
99,0,51,582,582,0.000
100,0,51,582,582,0.000
