Row_by_Pixel,Uncorroded_Depth_by_Pixel,Thickness_by_Pixel,Thickness_Left_Pixel,Thickness,Corrosion_Depth_Ratio
0,0,16,612,612,0.000
1,0,24,612,612,0.000
2,0,23,613,613,0.000
3,0,20,615,615,0.000
4,0,16,618,618,0.000
5,0,15,618,618,0.000
6,0,15,618,618,0.000
7,0,15,618,618,0.000
8,0,16,618,618,0.000
9,0,16,618,618,0.000
10,0,16,617,617,0.000
11,0,16,617,617,0.000
12,0,16,617,617,0.000
13,0,17,618,618,0.000
14,0,16,619,619,0.000
15,0,16,619,619,0.000
16,0,16,619,619,0.000
17,0,15,620,620,0.000
18,0,16,620,620,0.000
19,0,16,620,620,0.000
20,0,15,620,620,0.000
21,0,15,620,620,0.000
22,0,15,620,620,0.000
23,0,15,620,620,0.000
24,0,15,620,620,0.000
25,0,15,620,620,0.000
26,0,15,620,620,0.000
27,0,16,620,620,0.000
28,0,16,620,620,0.000
29,0,16,621,621,0.000
30,0,15,622,622,0.000
31,0,15,622,622,0.000
32,0,15,622,622,0.000
33,0,15,622,622,0.000
34,0,16,621,621,0.000
35,0,17,620,620,0.000
36,0,16,620,620,0.000
37,0,15,620,620,0.000
38,0,15,620,620,0.000
39,0,15,620,620,0.000
40,0,16,620,620,0.000
41,0,16,621,621,0.000
42,0,15,622,622,0.000
43,0,15,622,622,0.000
44,0,15,622,622,0.000
45,0,15,622,622,0.000
46,0,15,622,622,0.000
47,0,16,621,621,0.000
48,0,16,620,620,0.000
49,0,15,620,620,0.000
50,0,15,620,620,0.000
51,0,15,620,620,0.000
52,0,16,620,620,0.000
53,0,17,620,620,0.000
54,0,15,622,622,0.000
55,0,15,622,622,0.000
56,0,15,622,622,0.000
57,0,15,622,622,0.000
58,0,16,621,621,0.000
59,0,16,621,621,0.000
60,0,15,621,621,0.000
61,0,16,620,620,0.000
62,0,16,620,620,0.000
63,0,17,618,618,0.000
64,0,16,618,618,0.000
65,0,15,618,618,0.000
66,0,15,618,618,0.000
67,0,16,618,618,0.000
68,0,19,619,619,0.000
69,0,16,620,620,0.000
70,0,16,620,620,0.000
71,0,16,620,620,0.000
72,0,15,620,620,0.000
73,0,15,620,620,0.000
74,0,15,620,620,0.000
75,0,15,620,620,0.000
76,0,15,620,620,0.000
77,0,15,620,620,0.000
78,0,15,620,620,0.000
79,0,15,620,620,0.000
80,0,16,619,619,0.000
81,0,16,619,619,0.000
82,0,16,619,619,0.000
83,0,16,619,619,0.000
84,0,16,619,619,0.000
85,0,16,619,619,0.000
86,0,16,619,619,0.000
87,0,17,618,618,0.000
88,0,17,618,618,0.000
89,0,17,618,618,0.000
90,0,16,618,618,0.000
91,0,16,618,618,0.000
92,0,16,618,618,0.000
93,0,16,618,618,0.000
94,0,17,617,617,0.000
95,0,17,617,617,0.000
96,0,17,617,617,0.000
97,0,16,617,617,0.000
98,0,16,617,617,0.000
99,0,16,617,617,0.000
100,0,16,617,617,0.000
101,0,16,617,617,0.000
102,0,16,617,617,0.000
103,0,15,618,618,0.000
104,0,16,618,618,0.000
105,0,16,618,618,0.000
106,0,15,618,618,0.000
107,0,15,618,618,0.000
108,0,15,618,618,0.000
109,0,16,617,617,0.000
110,0,17,615,615,0.000
111,0,16,614,614,0.000
112,0,16,614,614,0.000
113,0,16,614,614,0.000
114,0,16,614,614,0.000
115,0,28,614,614,0.000
116,0,16,616,616,0.000
117,0,16,616,616,0.000
118,0,16,616,616,0.000
119,0,16,615,615,0.000
120,0,16,615,615,0.000
121,0,18,615,615,0.000
122,0,16,615,615,0.000
123,0,16,614,614,0.000
124,0,15,614,614,0.000
125,0,16,613,613,0.000
126,0,17,612,612,0.000
127,0,16,612,612,0.000
128,0,17,612,612,0.000
129,0,17,612,612,0.000
130,0,17,612,612,0.000
