Row_by_Pixel,Uncorroded_Depth_by_Pixel,Thickness_by_Pixel,Thickness_Left_Pixel,Thickness,Corrosion_Depth_Ratio
0,0,17,517,517,0.000
1,0,17,517,517,0.000
2,0,18,517,517,0.000
3,0,18,517,517,0.000
4,0,17,518,518,0.000
5,0,17,518,518,0.000
6,0,17,518,518,0.000
7,0,17,518,518,0.000
8,0,17,518,518,0.000
9,0,17,518,518,0.000
10,0,17,518,518,0.000
11,0,17,518,518,0.000
12,0,17,518,518,0.000
13,0,17,518,518,0.000
14,0,18,518,518,0.000
15,0,17,519,519,0.000
16,0,17,519,519,0.000
17,0,17,520,520,0.000
18,0,17,520,520,0.000
19,0,17,521,521,0.000
20,0,17,521,521,0.000
21,0,17,521,521,0.000
22,0,17,522,522,0.000
23,0,17,522,522,0.000
24,0,17,522,522,0.000
25,0,17,522,522,0.000
26,11,16,523,523,0.312
27,11,16,523,523,0.312
28,11,17,523,523,0.353
29,12,17,523,523,0.294
30,0,17,523,523,0.000
31,0,17,523,523,0.000
32,0,17,523,523,0.000
33,0,17,523,523,0.000
34,0,17,523,523,0.000
35,8,17,523,523,0.529
36,6,17,523,523,0.647
37,5,16,524,524,0.688
38,4,16,524,524,0.750
39,3,16,524,524,0.812
40,3,16,524,524,0.812
41,3,17,524,524,0.824
42,2,17,524,524,0.882
43,2,17,524,524,0.882
44,3,17,524,524,0.824
45,3,17,524,524,0.824
46,3,17,524,524,0.824
47,3,17,524,524,0.824
48,4,17,524,524,0.765
49,4,17,524,524,0.765
50,3,16,525,525,0.812
51,3,16,525,525,0.812
52,3,17,525,525,0.824
53,4,17,525,525,0.765
54,4,17,525,525,0.765
55,5,17,525,525,0.706
56,5,17,525,525,0.706
57,6,17,525,525,0.647
58,7,17,525,525,0.588
59,9,17,525,525,0.471
60,0,17,525,525,0.000
61,0,16,526,526,0.000
62,0,16,526,526,0.000
63,0,17,526,526,0.000
64,0,16,526,526,0.000
65,0,16,526,526,0.000
66,0,17,526,526,0.000
67,0,17,526,526,0.000
68,0,17,526,526,0.000
69,0,16,527,527,0.000
70,0,16,527,527,0.000
71,0,16,527,527,0.000
72,0,16,527,527,0.000
73,0,17,527,527,0.000
74,0,17,527,527,0.000
75,0,17,527,527,0.000
76,0,16,528,528,0.000
77,0,17,527,527,0.000
78,0,17,527,527,0.000
79,0,17,527,527,0.000
80,0,16,527,527,0.000
81,0,17,526,526,0.000
82,0,16,526,526,0.000
83,0,17,525,525,0.000
84,0,17,525,525,0.000
85,0,16,525,525,0.000
86,0,17,524,524,0.000
87,0,17,524,524,0.000
88,0,16,524,524,0.000
89,0,17,523,523,0.000
90,0,17,522,522,0.000
91,0,18,521,521,0.000
92,0,17,521,521,0.000
93,0,16,521,521,0.000
94,0,17,520,520,0.000
95,0,17,520,520,0.000
96,0,17,519,519,0.000
97,0,17,519,519,0.000
98,0,17,519,519,0.000
99,0,16,519,519,0.000
100,0,17,518,518,0.000
101,0,17,518,518,0.000
102,0,17,518,518,0.000
103,0,17,518,518,0.000
104,0,16,518,518,0.000
105,0,17,517,517,0.000
106,0,17,517,517,0.000
107,0,18,516,516,0.000
108,0,17,516,516,0.000
109,0,17,515,515,0.000
110,0,17,515,515,0.000
111,0,17,515,515,0.000
112,0,17,515,515,0.000
113,0,17,515,515,0.000
114,0,17,515,515,0.000
115,0,17,515,515,0.000
116,0,17,515,515,0.000
117,0,16,515,515,0.000
118,6,16,515,515,0.625
119,2,16,515,515,0.875
120,1,16,515,515,0.938
121,1,16,515,515,0.938
122,1,17,515,515,0.941
123,1,17,515,515,0.941
124,1,17,515,515,0.941
125,1,17,515,515,0.941
126,1,17,515,515,0.941
127,1,17,515,515,0.941
128,1,17,515,515,0.941
129,1,17,515,515,0.941
130,1,17,515,515,0.941
131,1,17,515,515,0.941
132,0,17,515,515,0.000
133,0,17,515,515,0.000
134,0,17,516,516,0.000
135,0,18,516,516,0.000
136,0,18,517,517,0.000
137,0,18,517,517,0.000
138,0,18,517,517,0.000
139,0,17,517,517,0.000
140,0,17,517,517,0.000
141,0,17,517,517,0.000
142,0,17,517,517,0.000
143,0,17,517,517,0.000
144,0,17,517,517,0.000
145,0,17,516,516,0.000
146,0,17,516,516,0.000
147,0,17,516,516,0.000
148,0,17,516,516,0.000
149,4,17,516,516,0.765
150,4,18,515,515,0.778
151,4,18,515,515,0.778
152,4,18,515,515,0.778
153,6,18,515,515,0.667
154,0,17,516,516,0.000
155,0,17,516,516,0.000
156,0,17,516,516,0.000
157,0,17,516,516,0.000
158,0,16,516,516,0.000
159,0,16,516,516,0.000
160,0,16,516,516,0.000
161,0,17,515,515,0.000
162,0,18,515,515,0.000
163,0,18,515,515,0.000
164,0,18,515,515,0.000
165,0,17,516,516,0.000
166,0,17,516,516,0.000
167,0,17,516,516,0.000
168,0,17,516,516,0.000
169,0,17,516,516,0.000
170,0,17,516,516,0.000
171,0,17,516,516,0.000
172,0,17,516,516,0.000
173,0,17,517,517,0.000
174,0,16,517,517,0.000
175,0,16,517,517,0.000
176,0,16,517,517,0.000
177,0,16,517,517,0.000
178,0,17,516,516,0.000
179,0,17,516,516,0.000
180,0,17,516,516,0.000
181,0,17,516,516,0.000
182,0,18,516,516,0.000
183,0,18,516,516,0.000
184,0,17,516,516,0.000
185,0,17,516,516,0.000
186,0,17,516,516,0.000
187,0,17,517,517,0.000
188,0,17,517,517,0.000
189,0,17,516,516,0.000
190,0,17,516,516,0.000
191,0,17,516,516,0.000
192,0,17,516,516,0.000
193,0,17,516,516,0.000
194,0,18,516,516,0.000
195,0,18,516,516,0.000
196,0,17,517,517,0.000
197,0,17,517,517,0.000
198,0,18,517,517,0.000
199,0,18,518,518,0.000
200,0,18,518,518,0.000
201,0,18,517,517,0.000
202,0,17,517,517,0.000
203,0,18,516,516,0.000
204,0,17,516,516,0.000
205,0,17,516,516,0.000
206,0,17,516,516,0.000
207,7,17,516,516,0.588
208,1,17,516,516,0.941
209,1,17,516,516,0.941
210,1,17,516,516,0.941
211,1,17,516,516,0.941
212,1,17,516,516,0.941
213,1,17,516,516,0.941
214,1,17,516,516,0.941
215,1,17,516,516,0.941
216,1,17,516,516,0.941
217,1,17,516,516,0.941
218,1,17,516,516,0.941
219,1,17,516,516,0.941
220,1,17,516,516,0.941
221,1,17,516,516,0.941
222,1,17,516,516,0.941
223,1,16,516,516,0.938
224,1,16,516,516,0.938
225,1,16,516,516,0.938
226,1,16,516,516,0.938
227,1,16,516,516,0.938
228,1,17,516,516,0.941
229,1,17,516,516,0.941
230,1,17,516,516,0.941
231,1,17,516,516,0.941
232,1,17,516,516,0.941
233,1,17,516,516,0.941
234,1,17,516,516,0.941
235,1,17,516,516,0.941
236,1,17,516,516,0.941
237,1,17,516,516,0.941
238,1,17,516,516,0.941
239,1,17,516,516,0.941
240,1,17,516,516,0.941
241,1,17,516,516,0.941
242,1,17,516,516,0.941
243,1,17,516,516,0.941
