Row_by_Pixel,Uncorroded_Depth_by_Pixel,Thickness_by_Pixel,Thickness_Left_Pixel,Thickness,Corrosion_Depth_Ratio
0,0,25,548,548,0.000
1,0,26,547,547,0.000
2,0,26,547,547,0.000
3,0,25,547,547,0.000
4,0,25,547,547,0.000
5,0,25,547,547,0.000
6,0,25,547,547,0.000
7,0,25,547,547,0.000
8,0,25,547,547,0.000
9,0,26,546,546,0.000
10,0,25,546,546,0.000
11,0,25,546,546,0.000
12,0,25,546,546,0.000
13,0,25,546,546,0.000
14,0,25,546,546,0.000
15,0,25,546,546,0.000
16,0,25,546,546,0.000
17,0,25,546,546,0.000
18,0,26,545,545,0.000
19,0,26,545,545,0.000
20,0,26,545,545,0.000
21,0,25,546,546,0.000
22,0,25,546,546,0.000
23,0,25,546,546,0.000
24,0,25,546,546,0.000
25,0,26,545,545,0.000
26,0,26,545,545,0.000
27,0,25,545,545,0.000
28,0,25,545,545,0.000
29,0,25,545,545,0.000
30,0,25,545,545,0.000
31,22,25,545,545,0.120
32,22,25,545,545,0.120
33,22,25,545,545,0.120
34,22,26,545,545,0.154
35,20,25,546,546,0.200
36,20,26,545,545,0.231
37,19,26,545,545,0.269
38,18,26,545,545,0.308
39,19,27,544,544,0.296
40,19,26,544,544,0.269
41,19,26,544,544,0.269
42,19,26,544,544,0.269
43,19,26,544,544,0.269
44,18,26,544,544,0.308
45,17,25,544,544,0.320
46,18,26,543,543,0.308
47,18,26,543,543,0.308
48,17,25,543,543,0.320
49,17,25,543,543,0.320
50,16,25,543,543,0.360
51,15,25,543,543,0.400
52,14,25,543,543,0.440
53,14,26,542,542,0.462
54,14,26,542,542,0.462
55,16,25,542,542,0.360
56,17,25,542,542,0.320
57,17,25,542,542,0.320
58,17,25,542,542,0.320
59,17,26,541,541,0.346
60,17,26,541,541,0.346
61,17,26,540,540,0.346
62,17,26,540,540,0.346
63,17,25,540,540,0.320
64,17,25,540,540,0.320
65,16,26,540,540,0.385
66,15,27,540,540,0.444
67,16,28,540,540,0.429
68,16,28,541,541,0.429
69,16,27,542,542,0.407
70,15,26,543,543,0.423
71,0,26,543,543,0.000
72,0,26,543,543,0.000
73,0,26,543,543,0.000
74,0,26,542,542,0.000
75,0,26,542,542,0.000
76,0,25,542,542,0.000
77,0,25,542,542,0.000
78,0,25,542,542,0.000
79,0,25,542,542,0.000
80,0,25,542,542,0.000
81,0,26,542,542,0.000
82,20,26,542,542,0.231
83,19,26,542,542,0.269
84,18,26,542,542,0.308
85,17,26,542,542,0.346
86,16,26,542,542,0.385
87,16,26,542,542,0.385
88,15,26,542,542,0.423
89,15,25,542,542,0.400
90,15,25,542,542,0.400
91,16,26,541,541,0.385
92,16,26,541,541,0.385
93,14,26,541,541,0.462
94,12,26,541,541,0.538
95,10,25,542,542,0.600
96,9,25,542,542,0.640
97,8,25,542,542,0.680
98,6,25,542,542,0.760
99,4,25,542,542,0.840
100,1,25,542,542,0.960
101,1,25,542,542,0.960
102,1,25,542,542,0.960
103,1,26,542,542,0.962
104,1,25,542,542,0.960
105,1,26,542,542,0.962
106,1,26,542,542,0.962
107,1,26,542,542,0.962
108,1,25,542,542,0.960
109,0,25,542,542,0.000
110,0,25,542,542,0.000
111,22,25,542,542,0.120
112,21,25,542,542,0.160
113,21,25,542,542,0.160
114,20,25,542,542,0.200
115,20,25,542,542,0.200
116,22,25,542,542,0.120
117,0,26,541,541,0.000
118,0,26,541,541,0.000
119,0,25,541,541,0.000
120,18,25,541,541,0.280
121,16,26,541,541,0.385
122,14,25,542,542,0.440
123,13,25,542,542,0.480
124,13,25,542,542,0.480
125,12,25,542,542,0.520
126,11,25,542,542,0.560
127,10,25,542,542,0.600
128,10,25,542,542,0.600
129,9,25,542,542,0.640
130,9,25,542,542,0.640
131,10,25,542,542,0.600
132,11,25,542,542,0.560
133,11,25,542,542,0.560
134,11,25,542,542,0.560
135,11,25,542,542,0.560
136,12,25,542,542,0.520
137,13,25,542,542,0.480
138,13,25,542,542,0.480
139,13,25,542,542,0.480
140,14,25,542,542,0.440
141,15,25,542,542,0.400
142,15,25,542,542,0.400
143,16,25,542,542,0.360
144,17,25,542,542,0.320
145,18,25,542,542,0.280
146,19,25,542,542,0.240
147,19,25,542,542,0.240
148,19,25,542,542,0.240
149,20,25,542,542,0.200
150,20,25,542,542,0.200
151,21,25,542,542,0.160
152,21,25,542,542,0.160
153,22,25,542,542,0.120
154,22,25,542,542,0.120
155,22,25,542,542,0.120
156,22,25,542,542,0.120
157,22,26,541,541,0.154
158,20,26,541,541,0.231
159,20,25,541,541,0.200
160,20,25,541,541,0.200
161,19,25,541,541,0.240
162,19,25,541,541,0.240
163,20,26,541,541,0.231
164,21,26,541,541,0.192
165,21,26,541,541,0.192
166,20,25,542,542,0.200
167,20,25,542,542,0.200
168,21,26,541,541,0.192
169,22,26,541,541,0.154
170,22,26,541,541,0.154
171,22,26,541,541,0.154
172,22,26,541,541,0.154
173,22,26,541,541,0.154
174,21,25,542,542,0.160
175,0,26,541,541,0.000
176,0,26,541,541,0.000
177,0,26,541,541,0.000
178,0,26,541,541,0.000
179,0,25,542,542,0.000
180,0,25,542,542,0.000
181,0,25,542,542,0.000
182,0,25,542,542,0.000
183,0,25,542,542,0.000
184,22,25,542,542,0.120
185,22,25,542,542,0.120
186,16,25,542,542,0.360
187,14,25,542,542,0.440
188,12,25,542,542,0.520
