Row_by_Pixel,Uncorroded_Depth_by_Pixel,Thickness_by_Pixel,Thickness_Left_Pixel,Thickness,Corrosion_Depth_Ratio
0,0,496,36,36,0.000
1,0,494,39,39,0.000
2,0,493,40,40,0.000
3,0,493,40,40,0.000
4,0,492,41,41,0.000
5,0,493,41,41,0.000
6,0,496,37,37,0.000
7,0,496,37,37,0.000
8,0,496,37,37,0.000
9,0,497,37,37,0.000
10,0,498,36,36,0.000
11,0,497,36,36,0.000
12,0,496,37,37,0.000
13,0,497,37,37,0.000
14,0,497,37,37,0.000
15,0,500,35,35,0.000
16,0,500,35,35,0.000
17,0,500,35,35,0.000
18,0,501,35,35,0.000
19,0,502,35,35,0.000
20,0,502,35,35,0.000
21,0,501,36,36,0.000
22,0,501,37,37,0.000
23,0,501,37,37,0.000
24,0,502,36,36,0.000
25,0,502,36,36,0.000
26,0,502,36,36,0.000
27,491,495,43,43,0.008
28,492,496,43,43,0.008
29,0,496,43,43,0.000
30,0,496,43,43,0.000
31,0,498,41,41,0.000
32,0,500,39,39,0.000
33,0,500,39,39,0.000
34,0,501,38,38,0.000
35,494,501,38,38,0.014
36,492,501,38,38,0.018
37,492,502,37,37,0.020
38,491,502,37,37,0.022
39,492,503,36,36,0.022
40,491,503,36,36,0.024
41,491,504,36,36,0.026
42,491,504,36,36,0.026
43,491,504,36,36,0.026
44,492,505,35,35,0.026
45,492,505,35,35,0.026
46,492,505,35,35,0.026
47,493,505,35,35,0.024
48,493,505,35,35,0.024
49,494,506,34,34,0.024
50,494,506,34,34,0.024
51,495,507,33,33,0.024
52,496,508,33,33,0.024
53,496,508,33,33,0.024
54,497,508,33,33,0.022
55,497,508,33,33,0.022
56,497,507,34,34,0.020
57,497,507,34,34,0.020
58,499,508,33,33,0.018
59,502,508,33,33,0.012
60,0,507,34,34,0.000
61,0,507,34,34,0.000
62,0,506,35,35,0.000
63,0,507,34,34,0.000
64,0,508,34,34,0.000
65,0,508,34,34,0.000
66,0,507,35,35,0.000
67,0,507,35,35,0.000
68,0,507,35,35,0.000
69,0,507,35,35,0.000
70,0,508,35,35,0.000
71,0,507,36,36,0.000
72,0,508,35,35,0.000
73,0,508,35,35,0.000
74,0,508,35,35,0.000
75,0,508,35,35,0.000
76,0,508,35,35,0.000
77,0,508,35,35,0.000
78,0,508,35,35,0.000
79,0,508,35,35,0.000
80,0,508,35,35,0.000
81,0,507,35,35,0.000
82,0,507,35,35,0.000
83,0,506,35,35,0.000
84,0,506,35,35,0.000
85,0,506,35,35,0.000
86,0,505,35,35,0.000
87,0,504,36,36,0.000
88,0,504,36,36,0.000
89,0,503,36,36,0.000
90,0,502,36,36,0.000
91,0,501,36,36,0.000
92,0,501,36,36,0.000
93,0,500,36,36,0.000
94,0,499,37,37,0.000
95,0,498,37,37,0.000
96,0,497,38,38,0.000
97,0,497,38,38,0.000
98,445,497,37,37,0.105
