Row_by_Pixel,Uncorroded_Depth_by_Pixel,Thickness_by_Pixel,Thickness_Left_Pixel,Thickness,Corrosion_Depth_Ratio
0,473,679,21,21,0.303
1,474,544,21,21,0.129
2,492,543,22,22,0.094
3,491,543,23,23,0.096
4,490,543,23,23,0.098
5,494,548,18,18,0.099
6,494,548,18,18,0.099
7,494,547,18,18,0.097
8,500,546,18,18,0.084
9,502,546,18,18,0.081
10,501,544,20,20,0.079
11,500,543,21,21,0.079
12,500,543,21,21,0.079
13,500,543,21,21,0.079
14,500,543,21,21,0.079
15,501,543,21,21,0.077
16,0,542,22,22,0.000
17,0,536,28,28,0.000
18,0,535,29,29,0.000
19,0,536,28,28,0.000
20,0,544,20,20,0.000
21,0,544,20,20,0.000
22,0,543,21,21,0.000
23,480,542,22,22,0.114
24,480,544,21,21,0.118
25,484,549,16,16,0.118
26,484,550,16,16,0.120
27,485,552,15,15,0.121
28,486,553,15,15,0.121
29,488,553,15,15,0.118
30,532,553,15,15,0.038
31,0,553,15,15,0.000
32,0,553,15,15,0.000
33,0,551,17,17,0.000
34,0,550,17,17,0.000
35,0,548,18,18,0.000
36,0,548,18,18,0.000
37,543,548,18,18,0.009
38,0,547,18,18,0.000
39,470,546,18,18,0.139
40,470,545,18,18,0.138
41,468,544,18,18,0.140
42,467,541,18,18,0.137
43,464,542,18,18,0.144
44,465,543,17,17,0.144
45,464,541,18,18,0.142
46,452,529,30,30,0.146
47,447,527,31,31,0.152
48,447,527,31,31,0.152
49,449,527,30,30,0.148
50,456,534,23,23,0.146
51,0,535,22,22,0.000
52,0,535,22,22,0.000
53,0,534,23,23,0.000
54,0,533,24,24,0.000
55,0,532,25,25,0.000
56,0,532,25,25,0.000
57,0,532,25,25,0.000
58,0,532,26,26,0.000
59,0,529,29,29,0.000
60,0,536,21,21,0.000
61,0,537,20,20,0.000
62,0,535,21,21,0.000
63,484,536,21,21,0.097
64,483,535,22,22,0.097
65,0,533,24,24,0.000
66,0,531,25,25,0.000
67,0,532,25,25,0.000
68,0,532,25,25,0.000
69,0,532,25,25,0.000
70,0,530,26,26,0.000
71,0,530,26,26,0.000
72,0,530,25,25,0.000
73,0,530,25,25,0.000
74,0,531,24,24,0.000
75,0,533,22,22,0.000
76,0,533,22,22,0.000
77,0,533,21,21,0.000
78,0,531,21,21,0.000
79,0,531,21,21,0.000
80,0,527,25,25,0.000
81,0,527,25,25,0.000
82,0,527,25,25,0.000
83,0,528,25,25,0.000
84,0,528,25,25,0.000
85,0,525,28,28,0.000
86,0,524,29,29,0.000
87,0,524,28,28,0.000
88,0,525,27,27,0.000
89,0,525,27,27,0.000
90,0,525,27,27,0.000
91,0,524,28,28,0.000
92,0,524,28,28,0.000
93,0,523,29,29,0.000
94,0,524,28,28,0.000
95,0,525,27,27,0.000
96,0,525,27,27,0.000
97,433,523,29,29,0.172
98,437,528,24,24,0.172
99,436,528,24,24,0.174
100,436,528,23,23,0.174
101,436,528,23,23,0.174
102,437,529,22,22,0.174
103,437,530,22,22,0.175
104,437,531,22,22,0.177
105,0,531,22,22,0.000
106,0,531,22,22,0.000
107,0,530,22,22,0.000
108,0,528,22,22,0.000
109,0,527,23,23,0.000
110,0,527,23,23,0.000
111,0,521,31,31,0.000
112,0,524,31,31,0.000
113,0,528,25,25,0.000
114,0,528,24,24,0.000
115,0,529,23,23,0.000
116,0,533,23,23,0.000
117,0,531,23,23,0.000
118,0,532,23,23,0.000
119,0,532,24,24,0.000
120,0,532,24,24,0.000
121,0,531,25,25,0.000
122,0,530,26,26,0.000
123,0,529,26,26,0.000
124,0,528,27,27,0.000
125,0,533,22,22,0.000
126,0,534,21,21,0.000
127,0,534,21,21,0.000
128,0,534,21,21,0.000
129,0,533,22,22,0.000
130,0,532,22,22,0.000
131,0,532,22,22,0.000
132,0,532,23,23,0.000
133,0,531,24,24,0.000
134,0,529,26,26,0.000
135,0,528,27,27,0.000
136,0,528,27,27,0.000
137,0,529,26,26,0.000
138,0,530,25,25,0.000
139,0,531,24,24,0.000
140,0,531,24,24,0.000
141,0,531,24,24,0.000
142,0,523,32,32,0.000
143,0,526,29,29,0.000
144,0,528,28,28,0.000
145,0,529,27,27,0.000
146,0,530,27,27,0.000
147,0,530,27,27,0.000
148,0,530,27,27,0.000
149,0,529,27,27,0.000
150,0,526,27,27,0.000
151,0,525,30,30,0.000
152,0,525,30,30,0.000
153,0,525,30,30,0.000
154,0,525,30,30,0.000
155,0,525,30,30,0.000
156,0,528,27,27,0.000
157,0,529,26,26,0.000
158,0,530,25,25,0.000
159,0,530,25,25,0.000
160,0,529,26,26,0.000
161,0,529,26,26,0.000
162,0,529,25,25,0.000
163,0,526,25,25,0.000
164,0,526,25,25,0.000
165,0,527,24,24,0.000
166,0,528,24,24,0.000
167,0,522,30,30,0.000
168,0,524,29,29,0.000
169,0,524,29,29,0.000
170,0,524,30,30,0.000
171,0,524,31,31,0.000
172,0,524,31,31,0.000
173,0,528,27,27,0.000
174,0,529,26,26,0.000
175,0,529,26,26,0.000
176,0,530,24,24,0.000
177,0,531,23,23,0.000
178,0,531,23,23,0.000
179,0,531,22,22,0.000
180,0,531,22,22,0.000
181,0,530,23,23,0.000
182,0,530,23,23,0.000
183,0,530,23,23,0.000
184,0,530,23,23,0.000
185,0,527,27,27,0.000
186,0,527,27,27,0.000
187,0,526,28,28,0.000
188,0,526,29,29,0.000
189,0,525,30,30,0.000
190,0,525,30,30,0.000
191,0,524,31,31,0.000
192,520,523,32,32,0.006
193,520,523,32,32,0.006
194,527,530,25,25,0.006
195,528,531,24,24,0.006
196,529,532,23,23,0.006
197,530,533,22,22,0.006
198,530,534,22,22,0.007
199,532,535,21,21,0.006
200,530,535,22,22,0.009
201,530,535,22,22,0.009
202,531,535,22,22,0.007
203,532,536,21,21,0.007
204,532,536,21,21,0.007
205,532,536,21,21,0.007
206,532,536,21,21,0.007
207,0,536,21,21,0.000
208,0,536,21,21,0.000
209,0,536,21,21,0.000
210,0,536,21,21,0.000
211,0,536,21,21,0.000
212,0,536,21,21,0.000
213,0,535,22,22,0.000
214,0,534,23,23,0.000
215,0,534,23,23,0.000
216,0,534,23,23,0.000
217,0,534,23,23,0.000
218,0,528,30,30,0.000
