Row_by_Pixel,Uncorroded_Depth_by_Pixel,Thickness_by_Pixel,Thickness_Left_Pixel,Thickness,Corrosion_Depth_Ratio
0,0,428,92,92,0.000
1,0,422,96,96,0.000
2,0,421,96,96,0.000
3,0,419,97,97,0.000
4,0,419,97,97,0.000
5,0,419,97,97,0.000
6,0,418,97,97,0.000
7,0,419,96,96,0.000
8,0,420,96,96,0.000
9,0,420,96,96,0.000
10,0,420,96,96,0.000
11,0,420,96,96,0.000
12,0,421,96,96,0.000
13,0,421,96,96,0.000
14,0,423,95,95,0.000
15,0,423,95,95,0.000
16,0,423,95,95,0.000
17,0,423,95,95,0.000
18,0,422,95,95,0.000
19,0,421,95,95,0.000
20,0,421,95,95,0.000
21,0,422,94,94,0.000
22,0,421,95,95,0.000
23,0,421,95,95,0.000
24,0,421,95,95,0.000
25,0,421,95,95,0.000
26,0,421,95,95,0.000
27,0,421,95,95,0.000
28,0,421,95,95,0.000
29,0,421,95,95,0.000
30,0,422,94,94,0.000
31,0,422,94,94,0.000
32,0,422,93,93,0.000
33,0,423,92,92,0.000
34,0,423,92,92,0.000
35,0,423,92,92,0.000
36,0,425,90,90,0.000
37,0,426,89,89,0.000
38,0,427,88,88,0.000
39,0,426,88,88,0.000
40,0,427,87,87,0.000
41,0,428,86,86,0.000
42,0,429,85,85,0.000
43,0,430,84,84,0.000
44,0,431,83,83,0.000
45,0,433,82,82,0.000
46,0,434,81,81,0.000
47,0,434,81,81,0.000
48,0,433,81,81,0.000
49,0,433,81,81,0.000
50,0,433,81,81,0.000
51,0,434,80,80,0.000
52,0,435,79,79,0.000
53,0,436,78,78,0.000
54,0,440,74,74,0.000
55,0,441,73,73,0.000
56,0,442,72,72,0.000
57,0,443,71,71,0.000
58,0,443,71,71,0.000
59,0,444,70,70,0.000
60,0,445,69,69,0.000
61,0,446,68,68,0.000
62,0,445,69,69,0.000
63,0,445,69,69,0.000
64,0,445,69,69,0.000
65,0,445,69,69,0.000
66,0,444,70,70,0.000
67,0,445,70,70,0.000
68,0,444,71,71,0.000
69,0,444,71,71,0.000
70,0,443,72,72,0.000
71,0,443,72,72,0.000
72,0,443,72,72,0.000
73,0,441,73,73,0.000
74,0,440,75,75,0.000
75,0,440,75,75,0.000
76,0,440,75,75,0.000
77,0,440,75,75,0.000
78,0,440,75,75,0.000
79,0,440,75,75,0.000
80,0,439,76,76,0.000
81,0,438,76,76,0.000
82,0,438,76,76,0.000
83,0,439,75,75,0.000
84,0,438,76,76,0.000
85,0,438,76,76,0.000
86,0,437,77,77,0.000
87,0,437,77,77,0.000
88,0,436,78,78,0.000
89,0,437,77,77,0.000
90,0,437,77,77,0.000
91,0,437,77,77,0.000
92,0,436,77,77,0.000
93,0,436,76,76,0.000
94,0,436,76,76,0.000
95,0,436,76,76,0.000
96,0,436,76,76,0.000
97,0,437,76,76,0.000
98,0,437,76,76,0.000
99,0,438,76,76,0.000
100,0,440,75,75,0.000
101,0,441,75,75,0.000
102,0,441,75,75,0.000
103,0,440,75,75,0.000
104,0,440,75,75,0.000
105,0,440,75,75,0.000
106,0,442,73,73,0.000
107,0,442,73,73,0.000
108,0,442,73,73,0.000
109,0,442,72,72,0.000
110,0,444,70,70,0.000
111,0,444,69,69,0.000
112,0,444,69,69,0.000
113,0,445,68,68,0.000
114,0,446,67,67,0.000
115,0,446,67,67,0.000
116,0,447,66,66,0.000
117,0,447,66,66,0.000
118,0,449,65,65,0.000
119,0,449,65,65,0.000
120,0,449,65,65,0.000
121,0,450,65,65,0.000
122,0,450,65,65,0.000
123,0,450,65,65,0.000
124,0,450,65,65,0.000
125,0,450,65,65,0.000
126,0,450,65,65,0.000
127,0,449,66,66,0.000
128,0,449,66,66,0.000
129,0,448,67,67,0.000
130,0,448,67,67,0.000
131,0,448,68,68,0.000
132,0,447,69,69,0.000
133,0,446,70,70,0.000
134,0,445,71,71,0.000
135,0,446,70,70,0.000
136,0,447,69,69,0.000
137,0,447,69,69,0.000
138,0,448,68,68,0.000
139,0,450,66,66,0.000
140,0,450,66,66,0.000
141,0,451,65,65,0.000
142,0,451,65,65,0.000
143,0,452,64,64,0.000
144,0,451,65,65,0.000
145,0,451,65,65,0.000
146,0,450,66,66,0.000
147,0,450,66,66,0.000
148,0,449,67,67,0.000
149,0,449,67,67,0.000
150,0,451,66,66,0.000
151,0,451,65,65,0.000
152,0,452,64,64,0.000
153,0,453,63,63,0.000
154,0,453,63,63,0.000
155,0,453,63,63,0.000
156,0,452,64,64,0.000
157,0,453,64,64,0.000
158,0,452,65,65,0.000
159,0,452,65,65,0.000
160,0,451,66,66,0.000
161,0,450,68,68,0.000
162,435,449,69,69,0.031
163,0,446,71,71,0.000
164,0,445,72,72,0.000
165,0,449,68,68,0.000
166,0,451,66,66,0.000
167,0,451,65,65,0.000
168,0,452,63,63,0.000
169,0,454,61,61,0.000
170,0,455,61,61,0.000
171,0,455,62,62,0.000
172,0,454,64,64,0.000
173,446,452,66,66,0.013
174,443,450,68,68,0.016
175,440,447,71,71,0.016
176,447,455,63,63,0.018
177,445,455,64,64,0.022
178,446,455,64,64,0.020
179,0,455,64,64,0.000
180,0,456,63,63,0.000
181,0,458,61,61,0.000
182,0,459,61,61,0.000
183,0,458,62,62,0.000
184,413,458,62,62,0.098
185,0,456,63,63,0.000
186,0,456,64,64,0.000
187,0,451,69,69,0.000
188,0,450,70,70,0.000
189,0,451,70,70,0.000
190,0,452,69,69,0.000
191,0,456,66,66,0.000
192,0,458,64,64,0.000
193,0,460,62,62,0.000
194,0,461,61,61,0.000
195,0,462,61,61,0.000
196,0,462,61,61,0.000
197,0,460,63,63,0.000
198,0,456,67,67,0.000
199,0,457,67,67,0.000
200,0,457,67,67,0.000
201,0,463,61,61,0.000
202,0,465,59,59,0.000
203,0,465,59,59,0.000
204,0,464,60,60,0.000
205,0,463,61,61,0.000
206,0,463,62,62,0.000
207,0,463,62,62,0.000
208,0,463,62,62,0.000
209,0,464,62,62,0.000
210,0,463,63,63,0.000
211,0,461,65,65,0.000
212,0,460,67,67,0.000
213,0,459,68,68,0.000
214,0,459,68,68,0.000
215,0,459,68,68,0.000
216,0,460,67,67,0.000
217,0,463,64,64,0.000
218,0,465,62,62,0.000
219,0,465,62,62,0.000
220,0,466,61,61,0.000
221,0,470,58,58,0.000
222,0,471,57,57,0.000
223,0,471,57,57,0.000
224,0,471,57,57,0.000
225,0,472,57,57,0.000
226,0,470,59,59,0.000
227,0,470,59,59,0.000
228,0,471,58,58,0.000
229,0,473,57,57,0.000
230,0,472,58,58,0.000
231,0,472,58,58,0.000
232,0,472,58,58,0.000
233,0,473,57,57,0.000
234,0,473,57,57,0.000
235,0,472,58,58,0.000
236,0,471,59,59,0.000
237,0,472,59,59,0.000
238,0,472,59,59,0.000
239,0,475,56,56,0.000
240,0,477,55,55,0.000
241,0,477,55,55,0.000
242,0,478,55,55,0.000
243,464,477,56,56,0.027
244,464,477,56,56,0.027
245,463,476,57,57,0.027
246,462,475,58,58,0.027
247,461,474,59,59,0.027
248,461,474,59,59,0.027
249,461,473,60,60,0.025
250,461,474,60,60,0.027
251,460,473,61,61,0.027
252,460,473,61,61,0.027
253,461,474,60,60,0.027
254,465,477,57,57,0.025
255,467,479,55,55,0.025
256,467,480,55,55,0.027
257,469,481,54,54,0.025
258,0,481,54,54,0.000
259,0,481,54,54,0.000
260,0,480,55,55,0.000
261,0,481,55,55,0.000
262,0,480,56,56,0.000
263,0,479,57,57,0.000
264,0,479,57,57,0.000
265,0,478,58,58,0.000
266,0,477,59,59,0.000
267,0,476,60,60,0.000
268,0,477,60,60,0.000
269,0,475,62,62,0.000
270,0,474,63,63,0.000
271,0,474,63,63,0.000
272,0,473,64,64,0.000
273,0,473,64,64,0.000
274,0,477,60,60,0.000
275,0,479,58,58,0.000
276,0,480,57,57,0.000
277,0,481,56,56,0.000
278,0,481,56,56,0.000
279,0,482,55,55,0.000
280,0,482,55,55,0.000
281,0,482,55,55,0.000
282,0,482,55,55,0.000
283,0,482,55,55,0.000
284,0,482,55,55,0.000
285,0,483,54,54,0.000
286,0,484,54,54,0.000
287,0,484,54,54,0.000
288,0,484,54,54,0.000
289,0,486,53,53,0.000
290,0,487,52,52,0.000
291,0,487,52,52,0.000
292,0,486,53,53,0.000
293,0,486,53,53,0.000
294,0,486,53,53,0.000
295,0,487,53,53,0.000
296,0,486,53,53,0.000
297,0,487,52,52,0.000
298,0,487,52,52,0.000
299,0,487,52,52,0.000
300,0,486,53,53,0.000
301,0,486,53,53,0.000
302,476,486,53,53,0.021
303,475,485,54,54,0.021
304,475,486,54,54,0.023
305,475,486,54,54,0.023
306,475,486,54,54,0.023
307,474,485,55,55,0.023
308,473,484,56,56,0.023
309,473,483,57,57,0.021
310,473,484,57,57,0.023
311,473,484,57,57,0.023
312,474,485,56,56,0.023
313,476,485,55,55,0.019
314,0,486,54,54,0.000
315,0,487,53,53,0.000
316,0,488,52,52,0.000
317,0,488,52,52,0.000
318,0,488,52,52,0.000
319,0,488,52,52,0.000
320,0,488,53,53,0.000
321,0,488,53,53,0.000
322,0,489,52,52,0.000
323,0,489,52,52,0.000
324,0,489,52,52,0.000
325,0,488,53,53,0.000
326,0,488,53,53,0.000
327,0,489,52,52,0.000
328,0,490,51,51,0.000
329,0,492,50,50,0.000
330,0,493,49,49,0.000
331,0,494,49,49,0.000
332,0,495,48,48,0.000
333,0,495,48,48,0.000
334,0,495,48,48,0.000
335,0,494,48,48,0.000
336,0,493,49,49,0.000
337,0,493,49,49,0.000
338,0,494,49,49,0.000
339,0,493,50,50,0.000
340,0,493,51,51,0.000
341,0,493,51,51,0.000
342,0,493,51,51,0.000
343,0,493,51,51,0.000
344,0,493,51,51,0.000
345,0,492,52,52,0.000
346,0,491,53,53,0.000
347,0,491,53,53,0.000
348,0,492,52,52,0.000
349,0,493,51,51,0.000
350,0,493,51,51,0.000
351,0,494,50,50,0.000
352,0,494,50,50,0.000
353,0,493,51,51,0.000
354,0,494,50,50,0.000
355,0,494,50,50,0.000
356,0,494,49,49,0.000
357,0,494,49,49,0.000
358,467,493,49,49,0.053
359,466,492,49,49,0.053
360,466,490,50,50,0.049
361,468,490,50,50,0.045
362,0,490,50,50,0.000
363,0,490,50,50,0.000
364,0,489,50,50,0.000
365,0,488,51,51,0.000
366,0,487,51,51,0.000
367,0,488,49,49,0.000
368,0,487,49,49,0.000
369,0,485,49,49,0.000
370,0,483,50,50,0.000
371,0,483,50,50,0.000
372,0,481,51,51,0.000
373,0,481,51,51,0.000
374,0,481,51,51,0.000
375,0,480,52,52,0.000
376,0,479,53,53,0.000
377,0,481,51,51,0.000
378,0,481,51,51,0.000
379,0,481,51,51,0.000
380,0,481,51,51,0.000
381,0,481,51,51,0.000
382,0,480,52,52,0.000
383,0,480,52,52,0.000
384,0,480,52,52,0.000
385,0,481,51,51,0.000
386,0,481,51,51,0.000
387,0,483,50,50,0.000
388,0,484,50,50,0.000
389,0,484,50,50,0.000
390,0,484,50,50,0.000
391,0,484,50,50,0.000
392,0,482,51,51,0.000
393,0,482,51,51,0.000
394,0,482,51,51,0.000
395,0,482,51,51,0.000
396,0,482,51,51,0.000
397,0,481,52,52,0.000
398,0,481,53,53,0.000
399,0,480,54,54,0.000
400,0,479,55,55,0.000
401,0,477,57,57,0.000
402,0,474,60,60,0.000
403,0,475,59,59,0.000
404,0,477,57,57,0.000
405,0,481,53,53,0.000
406,0,483,51,51,0.000
407,0,483,50,50,0.000
408,0,483,50,50,0.000
409,0,483,50,50,0.000
410,0,483,50,50,0.000
411,0,482,50,50,0.000
412,0,482,50,50,0.000
413,0,482,50,50,0.000
414,0,482,50,50,0.000
415,0,482,50,50,0.000
416,0,482,50,50,0.000
417,0,483,49,49,0.000
418,0,483,48,48,0.000
419,0,484,48,48,0.000
420,0,484,48,48,0.000
421,0,484,48,48,0.000
422,0,482,49,49,0.000
423,0,482,49,49,0.000
424,0,481,50,50,0.000
425,0,480,51,51,0.000
426,0,480,51,51,0.000
427,0,479,52,52,0.000
428,0,479,53,53,0.000
429,0,479,53,53,0.000
430,0,477,54,54,0.000
431,0,478,53,53,0.000
432,0,479,51,51,0.000
433,0,480,50,50,0.000
434,0,480,50,50,0.000
435,0,480,50,50,0.000
436,0,480,50,50,0.000
437,0,480,50,50,0.000
438,0,480,50,50,0.000
439,0,480,50,50,0.000
440,0,480,50,50,0.000
441,0,480,50,50,0.000
442,0,480,50,50,0.000
443,0,481,49,49,0.000
444,0,481,49,49,0.000
445,0,482,48,48,0.000
446,0,483,48,48,0.000
447,0,483,48,48,0.000
448,0,483,48,48,0.000
449,0,482,49,49,0.000
450,0,483,49,49,0.000
451,0,482,50,50,0.000
452,0,479,54,54,0.000
453,0,476,57,57,0.000
454,0,482,51,51,0.000
455,0,484,49,49,0.000
456,0,487,47,47,0.000
457,0,487,47,47,0.000
458,0,487,47,47,0.000
459,0,487,48,48,0.000
460,0,487,49,49,0.000
461,0,486,50,50,0.000
462,0,486,50,50,0.000
463,0,488,49,49,0.000
464,0,488,49,49,0.000
465,0,489,48,48,0.000
466,0,490,48,48,0.000
467,0,491,47,47,0.000
468,0,491,47,47,0.000
469,0,491,48,48,0.000
470,0,491,48,48,0.000
471,0,491,48,48,0.000
472,0,491,49,49,0.000
473,0,490,50,50,0.000
474,0,489,51,51,0.000
475,0,488,52,52,0.000
476,0,487,53,53,0.000
477,0,487,53,53,0.000
478,0,487,53,53,0.000
479,0,488,52,52,0.000
480,0,490,51,51,0.000
481,0,490,51,51,0.000
482,0,492,49,49,0.000
483,0,493,48,48,0.000
484,0,493,48,48,0.000
485,0,493,48,48,0.000
486,0,493,48,48,0.000
487,0,494,48,48,0.000
488,0,494,48,48,0.000
489,0,495,47,47,0.000
490,0,495,47,47,0.000
491,0,496,46,46,0.000
492,480,496,46,46,0.032
493,481,497,45,45,0.032
494,481,496,45,45,0.030
495,0,495,46,46,0.000
496,0,498,46,46,0.000
497,0,497,47,47,0.000
498,0,497,47,47,0.000
499,0,496,47,47,0.000
500,0,496,47,47,0.000
501,0,496,47,47,0.000
502,0,495,47,47,0.000
503,0,495,47,47,0.000
504,0,493,49,49,0.000
505,0,493,49,49,0.000
506,0,494,49,49,0.000
507,0,495,48,48,0.000
508,0,496,47,47,0.000
509,0,496,47,47,0.000
510,0,497,46,46,0.000
511,0,496,46,46,0.000
512,0,495,47,47,0.000
513,0,496,47,47,0.000
514,0,495,48,48,0.000
515,0,495,48,48,0.000
516,0,495,48,48,0.000
517,0,495,48,48,0.000
518,0,495,48,48,0.000
519,0,495,48,48,0.000
520,0,494,48,48,0.000
521,0,494,48,48,0.000
522,0,494,48,48,0.000
523,0,494,48,48,0.000
524,0,494,48,48,0.000
525,0,494,48,48,0.000
526,0,493,49,49,0.000
527,0,492,50,50,0.000
528,0,491,51,51,0.000
529,0,490,51,51,0.000
530,0,489,50,50,0.000
531,0,489,50,50,0.000
532,0,488,51,51,0.000
533,0,488,51,51,0.000
534,0,489,51,51,0.000
535,0,490,50,50,0.000
536,0,490,50,50,0.000
537,0,492,49,49,0.000
538,0,492,49,49,0.000
539,0,493,48,48,0.000
540,0,493,48,48,0.000
541,0,492,48,48,0.000
542,0,492,48,48,0.000
543,0,491,49,49,0.000
544,0,490,50,50,0.000
545,0,489,51,51,0.000
546,0,489,51,51,0.000
547,0,489,52,52,0.000
548,0,487,53,53,0.000
549,0,487,53,53,0.000
550,0,489,50,50,0.000
