Row_by_Pixel,Uncorroded_Depth_by_Pixel,Thickness_by_Pixel,Thickness_Left_Pixel,Thickness,Corrosion_Depth_Ratio
0,0,505,122,122,0.000
1,0,505,122,122,0.000
2,0,507,123,123,0.000
3,0,510,123,123,0.000
4,0,509,124,124,0.000
5,0,509,124,124,0.000
6,0,507,126,126,0.000
7,0,507,126,126,0.000
8,0,507,126,126,0.000
9,0,507,126,126,0.000
10,0,506,127,127,0.000
11,0,505,127,127,0.000
12,0,505,127,127,0.000
13,0,507,127,127,0.000
14,0,508,127,127,0.000
15,0,503,131,131,0.000
16,0,502,132,132,0.000
17,0,503,132,132,0.000
18,0,501,134,134,0.000
19,0,501,134,134,0.000
20,0,507,128,128,0.000
21,0,508,127,127,0.000
22,0,508,127,127,0.000
23,0,509,126,126,0.000
24,0,509,126,126,0.000
25,0,508,126,126,0.000
26,0,508,127,127,0.000
27,0,507,128,128,0.000
28,0,508,128,128,0.000
29,0,508,129,129,0.000
30,0,504,133,133,0.000
31,0,505,132,132,0.000
32,0,505,132,132,0.000
33,0,506,131,131,0.000
34,0,508,129,129,0.000
35,0,507,129,129,0.000
36,0,506,129,129,0.000
37,0,506,129,129,0.000
38,0,506,129,129,0.000
39,0,506,129,129,0.000
40,0,503,133,133,0.000
41,0,504,133,133,0.000
42,0,504,133,133,0.000
43,0,505,132,132,0.000
44,0,506,131,131,0.000
45,0,509,128,128,0.000
46,0,510,127,127,0.000
47,0,509,127,127,0.000
48,0,508,127,127,0.000
49,0,509,126,126,0.000
50,0,509,126,126,0.000
51,0,510,125,125,0.000
52,0,510,125,125,0.000
53,0,512,125,125,0.000
54,0,512,125,125,0.000
55,0,512,125,125,0.000
56,0,511,126,126,0.000
57,0,510,127,127,0.000
58,0,510,127,127,0.000
59,0,508,128,128,0.000
60,0,507,128,128,0.000
61,0,504,131,131,0.000
62,0,503,132,132,0.000
63,0,501,133,133,0.000
64,0,499,134,134,0.000
65,0,506,127,127,0.000
66,0,507,126,126,0.000
67,0,507,126,126,0.000
68,0,510,125,125,0.000
69,0,510,125,125,0.000
70,0,510,125,125,0.000
71,0,510,125,125,0.000
72,0,509,126,126,0.000
73,0,508,127,127,0.000
74,0,504,131,131,0.000
75,0,499,136,136,0.000
76,0,499,136,136,0.000
77,0,500,135,135,0.000
78,0,503,132,132,0.000
79,0,504,131,131,0.000
80,0,505,130,130,0.000
81,0,506,128,128,0.000
82,0,506,128,128,0.000
83,0,506,128,128,0.000
84,0,506,128,128,0.000
85,0,506,127,127,0.000
86,0,507,126,126,0.000
87,0,506,126,126,0.000
88,0,506,126,126,0.000
89,0,506,127,127,0.000
90,0,507,126,126,0.000
91,0,507,126,126,0.000
92,0,507,126,126,0.000
93,0,506,126,126,0.000
94,0,505,126,126,0.000
95,0,505,126,126,0.000
96,0,505,125,125,0.000
97,0,508,124,124,0.000
98,0,508,124,124,0.000
99,0,508,124,124,0.000
100,0,508,124,124,0.000
101,0,507,125,125,0.000
102,0,508,125,125,0.000
103,0,508,125,125,0.000
104,0,509,124,124,0.000
105,0,509,124,124,0.000
106,0,509,124,124,0.000
107,0,509,124,124,0.000
108,0,509,124,124,0.000
109,0,509,124,124,0.000
110,0,508,123,123,0.000
111,0,507,123,123,0.000
112,0,506,123,123,0.000
113,0,506,123,123,0.000
114,0,504,125,125,0.000
115,0,505,125,125,0.000
116,0,506,125,125,0.000
117,0,507,124,124,0.000
118,0,508,123,123,0.000
119,0,510,121,121,0.000
120,0,510,120,120,0.000
121,0,511,119,119,0.000
122,0,512,118,118,0.000
123,0,512,118,118,0.000
124,0,511,118,118,0.000
125,0,511,118,118,0.000
126,0,510,118,118,0.000
127,0,510,117,117,0.000
128,0,510,117,117,0.000
129,0,510,117,117,0.000
130,0,510,117,117,0.000
131,0,510,117,117,0.000
