Row_by_Pixel,Uncorroded_Depth_by_Pixel,Thickness_by_Pixel,Thickness_Left_Pixel,Thickness,Corrosion_Depth_Ratio
0,0,15,558,558,0.000
1,0,16,557,557,0.000
2,0,16,557,557,0.000
3,0,15,557,557,0.000
4,0,15,557,557,0.000
5,0,15,557,557,0.000
6,0,15,557,557,0.000
7,0,15,557,557,0.000
8,0,15,557,557,0.000
9,0,16,556,556,0.000
10,0,15,556,556,0.000
11,0,15,556,556,0.000
12,0,15,556,556,0.000
13,0,15,556,556,0.000
14,0,15,556,556,0.000
15,0,15,556,556,0.000
16,0,15,556,556,0.000
17,0,15,556,556,0.000
18,0,16,555,555,0.000
19,0,16,555,555,0.000
20,0,16,555,555,0.000
21,0,15,556,556,0.000
22,0,15,556,556,0.000
23,0,15,556,556,0.000
24,0,15,556,556,0.000
25,0,16,555,555,0.000
26,0,16,555,555,0.000
27,0,15,555,555,0.000
28,0,15,555,555,0.000
29,0,15,555,555,0.000
30,0,15,555,555,0.000
31,12,15,555,555,0.200
32,12,15,555,555,0.200
33,12,15,555,555,0.200
34,12,16,555,555,0.250
35,10,15,556,556,0.333
36,10,16,555,555,0.375
37,9,16,555,555,0.438
38,8,16,555,555,0.500
39,9,17,554,554,0.471
40,9,16,554,554,0.438
41,9,16,554,554,0.438
42,9,16,554,554,0.438
43,9,16,554,554,0.438
44,8,16,554,554,0.500
45,7,15,554,554,0.533
46,8,16,553,553,0.500
47,8,16,553,553,0.500
48,7,15,553,553,0.533
49,7,15,553,553,0.533
50,6,15,553,553,0.600
51,5,15,553,553,0.667
52,4,15,553,553,0.733
53,4,16,552,552,0.750
54,4,16,552,552,0.750
55,6,15,552,552,0.600
56,7,15,552,552,0.533
57,7,15,552,552,0.533
58,7,15,552,552,0.533
59,7,16,551,551,0.562
60,7,16,551,551,0.562
61,7,16,550,550,0.562
62,7,16,550,550,0.562
63,7,15,550,550,0.533
64,7,15,550,550,0.533
65,6,16,550,550,0.625
66,5,17,550,550,0.706
67,6,18,550,550,0.667
68,6,18,551,551,0.667
69,6,17,552,552,0.647
70,5,16,553,553,0.688
71,0,16,553,553,0.000
72,0,16,553,553,0.000
73,0,16,553,553,0.000
74,0,16,552,552,0.000
75,0,16,552,552,0.000
76,0,15,552,552,0.000
77,0,15,552,552,0.000
78,0,15,552,552,0.000
79,0,15,552,552,0.000
80,0,15,552,552,0.000
81,0,16,552,552,0.000
82,10,16,552,552,0.375
83,9,16,552,552,0.438
84,8,16,552,552,0.500
85,7,16,552,552,0.562
86,6,16,552,552,0.625
87,6,16,552,552,0.625
88,5,16,552,552,0.688
89,5,15,552,552,0.667
90,5,15,552,552,0.667
91,6,16,551,551,0.625
92,6,16,551,551,0.625
93,4,16,551,551,0.750
94,2,16,551,551,0.875
95,1,15,552,552,0.933
96,1,15,552,552,0.933
97,1,15,552,552,0.933
98,1,15,552,552,0.933
99,3,15,552,552,0.800
100,4,15,552,552,0.733
101,10,15,552,552,0.333
102,11,15,552,552,0.267
103,11,16,552,552,0.312
104,12,15,552,552,0.200
105,13,16,552,552,0.188
106,0,16,552,552,0.000
107,0,16,552,552,0.000
108,0,15,552,552,0.000
109,0,15,552,552,0.000
110,0,15,552,552,0.000
111,12,15,552,552,0.200
112,11,15,552,552,0.267
113,11,15,552,552,0.267
114,10,15,552,552,0.333
115,10,15,552,552,0.333
116,12,15,552,552,0.200
117,0,16,551,551,0.000
118,0,16,551,551,0.000
119,0,15,551,551,0.000
120,8,15,551,551,0.467
121,6,16,551,551,0.625
122,4,15,552,552,0.733
123,3,15,552,552,0.800
124,3,15,552,552,0.800
125,2,15,552,552,0.867
126,1,15,552,552,0.933
127,1,15,552,552,0.933
128,1,15,552,552,0.933
129,1,15,552,552,0.933
130,1,15,552,552,0.933
131,1,15,552,552,0.933
132,1,15,552,552,0.933
133,1,15,552,552,0.933
134,1,15,552,552,0.933
135,1,15,552,552,0.933
136,2,15,552,552,0.867
137,3,15,552,552,0.800
138,3,15,552,552,0.800
139,3,15,552,552,0.800
140,4,15,552,552,0.733
141,5,15,552,552,0.667
142,5,15,552,552,0.667
143,6,15,552,552,0.600
144,7,15,552,552,0.533
145,8,15,552,552,0.467
146,9,15,552,552,0.400
147,9,15,552,552,0.400
148,9,15,552,552,0.400
149,10,15,552,552,0.333
150,10,15,552,552,0.333
151,11,15,552,552,0.267
152,11,15,552,552,0.267
153,12,15,552,552,0.200
154,12,15,552,552,0.200
155,12,15,552,552,0.200
156,12,15,552,552,0.200
157,12,16,551,551,0.250
158,10,16,551,551,0.375
159,10,15,551,551,0.333
160,10,15,551,551,0.333
161,9,15,551,551,0.400
162,9,15,551,551,0.400
163,10,16,551,551,0.375
164,11,16,551,551,0.312
165,11,16,551,551,0.312
166,10,15,552,552,0.333
167,10,15,552,552,0.333
168,11,16,551,551,0.312
169,12,16,551,551,0.250
170,12,16,551,551,0.250
171,12,16,551,551,0.250
172,12,16,551,551,0.250
173,12,16,551,551,0.250
174,11,15,552,552,0.267
175,0,16,551,551,0.000
176,0,16,551,551,0.000
177,0,16,551,551,0.000
178,0,16,551,551,0.000
179,0,15,552,552,0.000
180,0,15,552,552,0.000
181,0,15,552,552,0.000
182,0,15,552,552,0.000
183,0,15,552,552,0.000
184,12,15,552,552,0.200
185,12,15,552,552,0.200
186,6,15,552,552,0.600
187,4,15,552,552,0.733
188,2,15,552,552,0.867
189,2,15,552,552,0.867
190,1,15,552,552,0.933
191,1,15,552,552,0.933
192,1,15,552,552,0.933
193,1,15,552,552,0.933
194,1,15,552,552,0.933
195,1,15,552,552,0.933
196,1,15,552,552,0.933
197,1,15,552,552,0.933
198,1,15,552,552,0.933
199,2,15,552,552,0.867
200,4,15,552,552,0.733
201,9,15,552,552,0.400
202,9,15,552,552,0.400
203,9,15,552,552,0.400
204,9,15,552,552,0.400
205,9,15,552,552,0.400
206,9,15,552,552,0.400
207,9,15,552,552,0.400
208,9,15,552,552,0.400
209,9,15,552,552,0.400
210,9,15,552,552,0.400
211,9,15,552,552,0.400
212,8,15,552,552,0.467
213,6,15,552,552,0.600
214,5,15,552,552,0.667
215,5,15,552,552,0.667
216,4,15,552,552,0.733
217,3,15,552,552,0.800
218,1,16,552,552,0.938
219,1,16,552,552,0.938
220,1,16,552,552,0.938
221,1,16,552,552,0.938
222,1,16,552,552,0.938
223,1,16,552,552,0.938
224,1,15,552,552,0.933
225,0,15,552,552,0.000
226,1,16,552,552,0.938
227,1,16,552,552,0.938
228,3,15,552,552,0.800
229,4,15,552,552,0.733
230,5,15,552,552,0.667
231,6,16,552,552,0.625
232,6,16,552,552,0.625
233,7,16,552,552,0.562
234,7,16,552,552,0.562
235,7,16,552,552,0.562
236,7,16,552,552,0.562
237,7,16,552,552,0.562
238,7,16,552,552,0.562
239,7,16,552,552,0.562
240,7,16,552,552,0.562
241,8,16,552,552,0.500
242,9,16,552,552,0.438
243,9,16,552,552,0.438
244,11,16,552,552,0.312
245,0,16,552,552,0.000
246,0,16,552,552,0.000
247,0,16,552,552,0.000
248,0,16,552,552,0.000
249,0,16,552,552,0.000
250,0,16,552,552,0.000
251,0,16,552,552,0.000
252,0,16,552,552,0.000
253,0,16,552,552,0.000
254,0,16,552,552,0.000
255,0,16,552,552,0.000
256,0,16,552,552,0.000
257,0,16,552,552,0.000
258,13,16,552,552,0.188
259,13,16,552,552,0.188
260,13,16,552,552,0.188
261,13,16,552,552,0.188
262,12,16,552,552,0.250
263,11,16,552,552,0.312
264,10,16,552,552,0.375
265,9,16,552,552,0.438
266,9,16,552,552,0.438
267,9,16,552,552,0.438
268,9,16,552,552,0.438
269,8,16,552,552,0.500
270,7,16,552,552,0.562
271,7,16,552,552,0.562
272,7,16,552,552,0.562
273,7,16,552,552,0.562
274,8,16,552,552,0.500
275,8,15,553,553,0.467
276,9,15,553,553,0.400
277,11,15,553,553,0.267
